No ,Kode ,Title ,Harga,Harga Dasar,Keterangan,,,,,,,,,,,
110,SHJ 109,SHJ 109," 	157,920 "," 	131,600 ",warna:,Hitam,",",Bahan:,Jeans,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
111,SHJ 374,SHJ 374," 	157,920 "," 	131,600 ",warna:,Hitam,",",Bahan:,Jeans,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
112,SHJ 322 ,SHJ 322 ," 	157,920 "," 	131,600 ",warna:,Biru,",",Bahan:,Jeans,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
113,SHJ ,SHJ ," 	151,920 "," 	126,600 ",warna:,Hitam,",",Bahan:,Jeans,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
114,SSP 628,SSP 628," 	167,520 "," 	139,600 ",warna:,Dongker,",",Bahan:,Jeans,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
115,SLX 517 ,SLX 517 ," 	169,440 "," 	141,200 ",warna:,Hitam,",",Bahan:,Jeans,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
116,SSP878,SSP878," 	167,520 "," 	139,600 ",warna:,Hitam,",",Bahan:,Jeans,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
117,SWY 417,SWY 417," 	171,120 "," 	142,600 ",warna:,Biru ,",",Bahan:,Jeans Strecth,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
118,SSP 859,SSP 859," 	167,520 "," 	139,600 ",warna:,Hitam,",",Bahan:,Jeans,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
119,SSP 470,SSP 470," 	134,280 "," 	111,900 ",warna:,Dongker,",",Bahan:,Jeans,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
120,SFC 169,SFC 169," 	117,360 "," 	97,800 ",warna:,Abu ,",",Bahan:,Lacoste,",",Ukuran:,M-L,",",Keterangan Lain :,,
121,SMD 085,SMD 085," 	117,360 "," 	97,800 ",warna:,Biru,",",Bahan:,Lacoste,",",Ukuran:,M-L,",",Keterangan Lain :,,
122,SCR 556,SCR 556," 	119,040 "," 	99,200 ",warna:,Hitam,",",Bahan:,Lacoste,",",Ukuran:,M-L,",",Keterangan Lain :,,
